6330	yokosa	111010
6331	akhwelephi	1000011000
6332	wababaza	11000010
6333	abangakhulelwe	10100100010110
6334	ongamvusa	100110010
6335	abakhohlisanayo	101000010101100
6336	nelamajebusi	111101000000
6337	enhlanganandlela	1100000011100000
6338	esedlula	10100010
6339	kungangumhlolo	01001011100010
6340	ukusola	1010010
6341	ngamcela	01110010
6342	isisusa	1010000
6343	ezikhona	10100100
6344	ngiyabakitaza	0010101000010
6345	njengomntanami	00001110000100
6346	ubunzima	10100000
6347	enakiwe	1001010
6348	zicosha	0100010
6349	waphi	00000
6350	ngangivuka	0110010010
6351	babengazi	010101000
6352	ngempela	00000000
6353	umnyango	11000000
6354	lamanqe	1101000
6355	siya	0110
6356	uphindele	100001010
6357	kungabe	0100100
6358	kokuduma	11010010
6359	wakubalekela	110100000010
6360	umntanakhe	1100001000
6361	wazithi	1101000
6362	babephilisa	01010001010
6363	ezibukela	101000010
6364	uthenga	1000010
6365	onguyise	10110000
6366	yokuthuthukiswa	110100000010110
6367	bagqolozel	1100000100
6368	kulo	0100
6369	edomi	10000
6370	mba	000
6371	ngomgqibelo	01110000010
6372	uwuhenqele	1010001010
6373	kuma	0110
6374	ephoxayo	10001100
6375	namali	010000
6376	isiyaziwa	111101010
6377	basukume	01000010
6378	akudliwa	10101010
6379	ababebandlululwa	1010100000000110
6380	yamazulu	11010000
6381	ecathama	10000010
6382	kwakufunayo	01101001100
6383	abasha	101000
6384	elingumamba	10101100000
6385	ofuna	10010
6386	bazothini	010100100
6387	mbalwa	000000
6388	equma	10010
6389	akusasizi	101010010
6390	ayenokubonisana	101110100101010
6391	bammbela	01101010
6392	ngaze	01100
6393	kunabanye	001101000
6394	kunkk	01100
6395	emendweni	110011000
6396	uthandazela	10000001010
6397	ihhashi	1000000
6398	emabhantshini	1010000001000
6399	yambhuquzisa	111000001010
6400	nxazonke	00101000
6401	kungachithwa	010010000110
6402	esondela	10000010
6403	nsizwa	100000
6404	ethuka	100010
6405	zikhula	0100010
6406	imisebenzi	1010000010
6407	ngiyibhalele	001010001010
6408	sengigule	010010010
6409	lesisicelo	0101010010
6410	zenziwe	1001010
6411	sahoba	110010
6412	kangakanani	01000010100
6413	akalindanga	10100010000
6414	alikadluli	1010100010
6415	asenzise	11001010
6416	kochitheka	1100001010
6417	ubhanya	1000000
6418	ukuthuthukisa	1010000001010
6419	acabange	10000010
6420	izifele	1011010
6421	kobani	110000
6422	ebehlezi	10100010
6423	imqoma	110010
6424	bangibiza	010010010
6425	ngibhediswa	00100010110
6426	awusakhumbuli	1010100000010
6427	angenzani	101001100
6428	basebenzisa	11000001010
6429	ngingasezwa	00100101010
6430	wawabeka	11010010
6431	bathande	01000010
6432	zizobona	01010010
6433	wethembele	1000001010
6434	ophelela	10001010
6435	sikhulekile	01000101000
6436	komnyama	11000000
6437	kwamabili	011010000
6438	useyozifunela	1010101001010
6439	bazothi	0101000
6440	eyenza	110010
6441	abazenzayo	1011001100
6442	engaka	100000
6443	wadukluza	110000010
6444	ayenzile	11001000
6445	owabe	11110
6446	babekhathele	010100000010
6447	kwasekuhambe	011010100010
6448	ngithole	00100010
6449	singazi	0101010
6450	angikwazi	100101000
6451	kwashayansumoni	011000111000100
6452	ejabulisayo	10000101100
6453	sambeka	1110010
6454	okukhombisayo	1010000101100
6455	emgaqweni	110001000
6456	olungenayo	1010001100
6457	zisashaywa	0101000110
6458	bambangisani	011000101100
6459	kubuswa	0100110
6460	sizongena	010100010
6461	kankazana	010001000
6462	kunotom	0011000
6463	amxoshe	1100010
6464	kwala	01010
6465	sebengakhele	010101001010
6466	ningiphe	01001010
6467	imuphe	101010
6468	noshintshi	1100000000
6469	aliphakamise	101000001010
6470	esigqikini	1010001000
6471	kwesiwa	0110100
6472	inkulumo	11000010
6473	ethola	100010
6474	kuwumsebenzi	011110000010
6475	okumehlele	1011000010
6476	usalokhu	10100000
6477	uwufuna	1010010
6478	afrika	000000
6479	ihlaya	100000
6480	kwakungasenjabulo	01101001011000010
6481	sabona	110010
6482	leliya	010100
6483	wase	1100
6484	kabi	0100
6485	kuyabuswa	010100110
6486	unomusa	1110100
6487	libathutha	0101000010
6488	ngezindlela	01100100000
6489	sibomvu	0100000
6490	ngehashi	01100000
6491	umbolonjana	11000001000
6492	ngisethekwini	0010100001000
6493	esibhedlela	10100000000
6494	makahambe	010100010
6495	abukeke	1001010
6496	kulelidlangala	01010100000000
6497	yitshe	110000
6498	yonozulazulane	11110000001000
6499	uzongizwa	101001010
6500	bayibona	01010010
6501	liyeza	011010
6502	kushoniwe	010001010
6503	esaphuma	10100010
6504	ziyamsinda	0101100010
6505	sebenginukile	0101001001000
6506	wasicosha	110100010
6507	bhoka	00010
6508	emzimbeni	110001000
6509	sezivevezela	010100001010
6510	wagcwala	11000010
6511	ukuyisebenzisa	10101000001010
6512	ulizzy	100000
6513	azibuzele	101001010
6514	egcotshwayo	10000011100
6515	abasize	1010010
6516	boxoshwa	11000110
6517	aliveze	1010010
6518	bephelela	010001010
6519	bajeziselwani	0100101011100
